quantity_in_kg,state,facility_name,site_address_suburb,site_latitude,site_longitude
360.4475,WA,Brownes Foods Operations - Balcatta,Balcatta,-31.859722,115.819167
76.84,ACT,Hume Asphalt Plant,Hume,-35.400025,149.1627806
365.348,SA,CHEETHAM SALT PTY LTD,Price,-34.291793,137.994976
59.6448,NSW,Dematic Pty Ltd,Belrose,-33.706759,151.213583
814.855,VIC,West Footscray Fats and Oils,Footscray West,-37.800516,144.871548
309.031,QLD,Boral Quarries Tichum,Tichum Creek,-16.9708,145.536
692.337,QLD,Boral Quarries Wellcamp Downs,Wellcamp,-27.551275,151.815602
964,VIC,WRP mine,Ouyen,-35.1838,142.489
553.577,SA,Lobethal Quarry,Lobethal,-34.902008,138.845329
12656.75,VIC,Mortlake Power Station,Mortlake,-38.067515,142.673667
582,VIC,Tip Top Dandenong,Dandenong,-38.015546,145.230981
7.96,NSW,Weston Milling - Enfield,Enfield,-33.88775,151.071111
3638.69,WA,WA Bluemetal Whitby Quarry,Whitby,-32.286026,116.031761
6500,WA,Bunbury Shipping Terminal,Bunbury,-33.320833,115.672222
835.8408,VIC,Alfred Hospital,Prahran,-37.845331,144.982316
1.136,WA,"GGT, Cosmos Delivery/Meter Station",Sir Samuel,-27.591047,120.58151
2.32,WA,"GGT, Mt Keith Delivery/Meter Station",Wiluna,-27.214516,120.548664
0.144,WA,"SCP, Kalgoorlie South Delivery/Meter Station",Feysville,-30.865675,121.480694
26,QLD,Ipswich Asphalt,Swanbank,-27.636238,152.822045
2273,QLD,Peabody Burton Mine,Nebo,-21.632839,148.115713
1793.68,VIC,Stanhope,Stanhope,-36.450731,144.992714
98.4435,WA,BridgeWest Perth Pharma (NovaCina),Bentley,-31.996944,115.893056
746.0662,TAS,Port of King Island,Grassy,-40.066126,144.060268
240.1,VIC,DGL Group Environmental Solutions,Laverton North,-37.821238,144.822103
89.5,SA,"Intercast & Forge, Wingfield",Wingfield,-34.844047,138.571052
1593.63,NSW,Buttai Quarry,Buttai,-32.841767,151.553958
971.942,TAS,Fonterra Australia Pty Ltd - Spreyton,Spreyton,-41.220142,146.359061
436.129,TAS,Fonterra Australia Pty Ltd - Wynyard,Wynyard,-40.989292,145.70972
88.542,QLD,BD&D Milk PTY LTD (Crestmead),Crestmead,-27.681667,153.071667
28997,SA,Iron Baron,Iron Baron,-32.988632,137.160391
10.857,QLD,Viva Energy Pinkenba Terminal,Pinkenba,-27.418691,153.128295
32085.7,WA,Newgen Power Kwinana Partnership,Naval Base,-32.201667,115.772778
126.1845279,NT,Shoal Bay Renewable Energy Facility,Karama,-12.3892,130.9254
2621.26729,QLD,Aurukun,Aurukun,-13.359444,141.725556
3537.71232,QLD,Boulia,Boulia,-22.911167,139.90625
1321.89542,QLD,Lockhart River,Lockhart River,-12.788333,143.339722
2631.15312,QLD,Murray Island,Murray Island,-9.915,144.047778
505.6950781,QLD,Warwick Limestone Mine and Processing Plant,Warwick,-28.391299,152.113984
1542.048,WA,Tabba Tabba,Strelley,-20.369596,118.991157
639.69,VIC,Echuca Humes,Echuca,-36.1402254,144.762609
228.84,VIC,Mulgrave Site,Mulgrave,-37.910688,145.151598
127.5662,QLD,Mareeba Processing Plant,Mareeba,-16.979863,145.416086
100.395,TAS,Boag & Son Brewing Ltd. (Lion),Launceston,-41.432018,147.138801
4384.63,WA,Cue Town Powerstation,Cue,-27.421,117.888
8206,WA,Meekatharra Town Powerstation,Meekatharra,-26.594,118.484
311.6717582,VIC,Midfield Meat Group,Warrnambool,-38.374299,142.461047
2983,QLD,Hanson Nerang Quarry,Nerang,-27.958056,153.318889
1209.4,SA,HANSON WHITEROCK QUARRY,Horsnell Gully,-34.924929,138.708579
524.3,NSW,Glenfield Sewage Treatment Plant,Macquarie Fields,-33.986046,150.903662
185.0601068,NSW,Visy Board Warwick Farm,Warwick Farm,-33.920429,150.936441
540.2960855,SA,Regency Park,Regency Park,-34.857535,138.566773
819.9,NSW,Hanson East Guyong Quarry,East Guyong,-33.407408,149.249606
10.2071,QLD,Normanton Airport,Normanton,-17.685634,141.073449
216.752,NSW,Steggles Foods Mt Kuring-Gai Pty Limited,Mundowi Road,-33.641944,151.13
69857,QLD,Middlemount Coal Mine,Middlemount,-22.86263647,148.6485552
1083,WA,Kewdale (Perth Freight Terminal),Kewdale,-31.9827553,115.9599882
33.61,SA,Whyalla,Whyalla,-33.011986,137.591626
30150.5,WA,Worsley Boddington Bauxite Mine,Boddington,-32.920556,116.465556
792603.87,WA,Worsley Refinery,Collie,-33.240703,116.067809
3393.696,VIC,Sugar Australia Yarraville Refinery,Yarraville,-37.817289,144.902408
208.479327,QLD,Swickers Kingaroy Bacon Factory,Kingaroy,-26.542911,151.859131
960.9379,VIC,Kagome Foods Aust,Echuca,-36.14977,144.765998
1618.621398,QLD,Dakabin LFGE,Dakabin,-27.225584,152.99204
41003.96,QLD,Diamantina Power Station,Mt Isa,-20.78,139.48
3008.6,TAS,Tamar Valley Power Station,Bell Bay,-41.14116167,146.902207
133.1297749,QLD,Noosa,Doonan,-26.438875,153.028062
21495,QLD,Tableland Mill,Mareeba,-17.119866,145.345043
931.932,NSW,Pentarch Edrom Chip Mill,Edrom,-31.014282,149.934576
2127.63,NSW,Hy-tec Industries Tumbulgum Quarry,Dulguigan,-28.28588,153.42325
1039.25,NSW,Hurd Haulage Grants Head Quarry,Bonny Hills,-31.58808,152.83339
76773.35,WA,Hope Downs 1 Mine,Juna Downs,-22.575,119.0746
5899.19,WA,Dampier Salt Operations,Maitland,-20.727222,116.749722
6112.68,WA,Lake Macleod Operations,Carnarvon,-24.4125,113.502222
46.247,VIC,Winchelsea CS,Winchelsea,-38.2786,143.842
168.9011,VIC,Bunurong Memorial Park,Dandenong South,-38.1616128,144.3790848
69.3488,VIC,Geelong Hospital,Geelong,-38.15128591,144.3580257
902.616221,VIC,Hallam Road Renewable Energy Facility,Hampton Park,-38.056514,145.270041
1173.412219,NSW,Thales Mulwala,Mulwala,-35.991382,145.996641
3760,NSW,Narrabri Coal Mine - Baan Baa,Baan Baa,-30.5199685,149.9022122
137.9,NSW,Bega Valley Shire Council Central Waste Facility,Frogs Hollow,-36.788587,149.796204
2020.53,SA,Adelaide Freight Terminal,Regency Park,-34.868158,138.576474
18203.72,QLD,Swanbank E,Raceview,-27.655295,152.818009
155.961024,NSW,LMS Dubbo LFG Flare Facility,Dubbo,-32.20917,148.488549
